topic_id,category_id,type,title,instructions,questions,difficulty,points,is_test,id,created_date,updated_date,created_by_id,created_by,is_sample
"696cd34015988b18c878c0a9","","analysis","Rozbory - AUTO","Klikni na každé písmeno a obarvi ho: 🔴 Červená = Samohlásky, 🔵 Modrá = Souhlásky","[{""question"":""Označ písmena ve slově AUTO"",""answer"":null,""options"":[],""pairs"":[],""categories"":[],""text"":""A U T O"",""words"":[{""word"":""A"",""color"":""red""},{""word"":""U"",""color"":""red""},{""word"":""T"",""color"":""blue""},{""word"":""O"",""color"":""red""}],""type"":null,""audio_url"":null,""image_url"":null}]","2","","","696cde25249c79107a073b52","2026-01-18T13:20:37.215000","2026-01-18T13:20:37.215000","696aa9031255ba6e2495e926","f.masek68@gmail.com","false"
"696cd34015988b18c878c0a9","","analysis","Rozbory - BABIČKA","Klikni na každé písmeno a obarvi ho: 🔴 Červená = Samohlásky, 🔵 Modrá = Souhlásky","[{""question"":""Označ písmena ve slově BABIČKA"",""answer"":null,""options"":[],""pairs"":[],""categories"":[],""text"":""B A B I Č K A"",""words"":[{""word"":""B"",""color"":""blue""},{""word"":""A"",""color"":""red""},{""word"":""B"",""color"":""blue""},{""word"":""I"",""color"":""red""},{""word"":""Č"",""color"":""blue""},{""word"":""K"",""color"":""blue""},{""word"":""A"",""color"":""red""}],""type"":null,""audio_url"":null,""image_url"":null}]","3","","","696cde25249c79107a073b53","2026-01-18T13:20:37.215000","2026-01-18T13:20:37.215000","696aa9031255ba6e2495e926","f.masek68@gmail.com","false"
"696cd34015988b18c878c0a9","","cloze","Doplňování - TATA","Doplň chybějící písmena kliknutím na správnou variantu","[{""question"":null,""answer"":""A___A"",""options"":[""A"",""O"",""E"",""I""],""pairs"":[],""categories"":[],""text"":""T___T___"",""words"":[],""type"":null,""audio_url"":null,""image_url"":null}]","2","","","696cde25249c79107a073b54","2026-01-18T13:20:37.215000","2026-01-18T13:20:37.215000","696aa9031255ba6e2495e926","f.masek68@gmail.com","false"
"696cd34015988b18c878c0a9","","cloze","Doplňování - OKNO","Doplň chybějící písmena kliknutím na správnou variantu","[{""question"":null,""answer"":""O___O"",""options"":[""O"",""A"",""E"",""U""],""pairs"":[],""categories"":[],""text"":""___KN___"",""words"":[],""type"":null,""audio_url"":null,""image_url"":null}]","3","","","696cde25249c79107a073b55","2026-01-18T13:20:37.215000","2026-01-18T13:20:37.215000","696aa9031255ba6e2495e926","f.masek68@gmail.com","false"
"696cd34015988b18c878c0a9","","sort","Rozřazovačka písmen - Lehká","Zařaď písmena do správných skupin","[{""question"":null,""answer"":null,""options"":[],""pairs"":[],""categories"":[{""name"":""Samohlásky"",""items"":[""A"",""E""]},{""name"":""Souhlásky"",""items"":[""B"",""M""]}],""text"":null,""words"":[],""type"":null,""audio_url"":null,""image_url"":null}]","1","15","","696cd4b960e4a14cf4aeeaec","2026-01-18T12:40:25.501000","2026-01-18T12:40:25.501000","696aa9031255ba6e2495e926","f.masek68@gmail.com","false"
"696cd34015988b18c878c0a9","","cloze","Doplňování - Chybějící písmena","Doplň chybějící písmena kliknutím na správnou variantu","[{""text"":""M___M___"",""answer"":""A___A"",""options"":[""A"",""O"",""E"",""I""]}]","1","10","","696cd4b960e4a14cf4aeeaed","2026-01-18T12:40:25.501000","2026-01-18T13:20:59.076000","696aa9031255ba6e2495e926","f.masek68@gmail.com","false"
"696cd34015988b18c878c0a9","","analysis","Rozbory - Samohlásky a souhlásky","Klikni na každé písmeno a obarvi ho: 🔴 Červená = Samohlásky, 🔵 Modrá = Souhlásky","[{""question"":""Označ písmena ve slově MAMA"",""text"":""M A M A"",""words"":[{""word"":""M"",""color"":""blue""},{""word"":""A"",""color"":""red""},{""word"":""M"",""color"":""blue""},{""word"":""A"",""color"":""red""}]}]","1","15","","696cd4b960e4a14cf4aeeaee","2026-01-18T12:40:25.501000","2026-01-18T13:20:57.904000","696aa9031255ba6e2495e926","f.masek68@gmail.com","false"
"696cd34015988b18c878c0a9","","listening","Poslech a psaní - Lehké","Poslechni si slovo a napiš ho","[{""question"":""Napiš, co slyšíš"",""answer"":""PES"",""options"":[],""pairs"":[],""categories"":[],""text"":null,""words"":[],""type"":null,""audio_url"":""placeholder-audio-pes.mp3"",""image_url"":null}]","1","10","","696cd4b960e4a14cf4aeeaef","2026-01-18T12:40:25.501000","2026-01-18T12:40:25.501000","696aa9031255ba6e2495e926","f.masek68@gmail.com","false"
"696cd34015988b18c878c0a9","","image","Obrázek a psaní - Lehké","Podívej se na obrázek a napiš, co vidíš","[{""question"":""Co je na obrázku?"",""answer"":""PES"",""options"":[],""pairs"":[],""categories"":[],""text"":null,""words"":[],""type"":null,""audio_url"":null,""image_url"":""placeholder-image-dog.jpg""}]","1","10","","696cd4b960e4a14cf4aeeaf0","2026-01-18T12:40:25.501000","2026-01-18T12:40:25.501000","696aa9031255ba6e2495e926","f.masek68@gmail.com","false"
"696cd34015988b18c878c0a9","","decision","Rozhodovačka - Střední","Vyber správnou odpověď","[{""question"":""Je písmeno O samohláska?"",""answer"":""Ano"",""options"":[""Ano"",""Ne""],""pairs"":[],""categories"":[],""text"":null,""words"":[],""type"":null,""audio_url"":null,""image_url"":null},{""question"":""Je písmeno K souhláska?"",""answer"":""Ano"",""options"":[""Ano"",""Ne""],""pairs"":[],""categories"":[],""text"":null,""words"":[],""type"":null,""audio_url"":null,""image_url"":null}]","2","15","","696cd4b960e4a14cf4aeeaf1","2026-01-18T12:40:25.501000","2026-01-18T12:40:25.501000","696aa9031255ba6e2495e926","f.masek68@gmail.com","false"
"696cd34015988b18c878c0a9","","quiz","Otázky - Střední","Odpovídej na otázky","[{""question"":""Kolik slabik má slovo AUTO?"",""answer"":""2"",""options"":[""1"",""2"",""3""],""pairs"":[],""categories"":[],""text"":null,""words"":[],""type"":null,""audio_url"":null,""image_url"":null},{""question"":""Které písmeno je samohláska?"",""answer"":""U"",""options"":[""T"",""U"",""K""],""pairs"":[],""categories"":[],""text"":null,""words"":[],""type"":null,""audio_url"":null,""image_url"":null}]","2","20","","696cd4b960e4a14cf4aeeaf2","2026-01-18T12:40:25.501000","2026-01-18T12:40:25.501000","696aa9031255ba6e2495e926","f.masek68@gmail.com","false"
"696cd34015988b18c878c0a9","","memory","Pexeso - Střední","Najdi páry stejných písmen","[{""question"":null,""answer"":null,""options"":[],""pairs"":[{""left"":""E"",""right"":""E""},{""left"":""F"",""right"":""F""},{""left"":""G"",""right"":""G""},{""left"":""H"",""right"":""H""},{""left"":""I"",""right"":""I""}],""categories"":[],""text"":null,""words"":[],""type"":null,""audio_url"":null,""image_url"":null}]","2","25","","696cd4b960e4a14cf4aeeaf3","2026-01-18T12:40:25.501000","2026-01-18T12:40:25.501000","696aa9031255ba6e2495e926","f.masek68@gmail.com","false"
"696cd34015988b18c878c0a9","","fill","Vpisování - Střední","Napiš správné písmeno","[{""question"":""Jak začína slovo OKNO?"",""answer"":""O"",""options"":[],""pairs"":[],""categories"":[],""text"":null,""words"":[],""type"":null,""audio_url"":null,""image_url"":null},{""question"":""Jak začíná slovo STŮL?"",""answer"":""S"",""options"":[],""pairs"":[],""categories"":[],""text"":null,""words"":[],""type"":null,""audio_url"":null,""image_url"":null}]","2","15","","696cd4b960e4a14cf4aeeaf4","2026-01-18T12:40:25.501000","2026-01-18T12:40:25.501000","696aa9031255ba6e2495e926","f.masek68@gmail.com","false"
"696cd34015988b18c878c0a9","","quiz","Otázky - Těžké","Odpovídej na otázky","[{""question"":""Kolik písmen má česká abeceda?"",""answer"":""42"",""options"":[""26"",""33"",""42"",""50""],""pairs"":[],""categories"":[],""text"":null,""words"":[],""type"":null,""audio_url"":null,""image_url"":null},{""question"":""Kolik slabik má slovo ABECEDA?"",""answer"":""4"",""options"":[""3"",""4"",""5""],""pairs"":[],""categories"":[],""text"":null,""words"":[],""type"":null,""audio_url"":null,""image_url"":null}]","3","25","","696cd4b960e4a14cf4aeeaf5","2026-01-18T12:40:25.501000","2026-01-18T12:40:25.501000","696aa9031255ba6e2495e926","f.masek68@gmail.com","false"
"696cd34015988b18c878c0a9","","memory","Pexeso - Těžké","Najdi páry stejných písmen","[{""question"":null,""answer"":null,""options"":[],""pairs"":[{""left"":""Š"",""right"":""Š""},{""left"":""Č"",""right"":""Č""},{""left"":""Ř"",""right"":""Ř""},{""left"":""Ž"",""right"":""Ž""},{""left"":""Ý"",""right"":""Ý""},{""left"":""Á"",""right"":""Á""}],""categories"":[],""text"":null,""words"":[],""type"":null,""audio_url"":null,""image_url"":null}]","3","30","","696cd4b960e4a14cf4aeeaf6","2026-01-18T12:40:25.501000","2026-01-18T12:40:25.501000","696aa9031255ba6e2495e926","f.masek68@gmail.com","false"
